HGNCsymbol,ChromosomeName,GeneStart,GeneEnd
HMGA1P6,13,23708313,23708703
RNY3P4,13,23726725,23726825
LINC00362,13,23743974,23744736
RNU6-58P,13,23791571,23791673
TATDN2P3,13,23817659,23821323
LINC00363,13,93708910,93710179
SDAD1P4,13,23841645,23843289
RPLP1P13,13,23947562,23948200
SACS-AS1,13,23993110,24002818
HNRNPA1P29,13,94047230,94048108
GPC6-AS2,13,94470677,94488397
RNA5SP35,13,94677724,94677852
LINC00327,13,24040710,24061603
GPC6-AS1,13,94806447,94840245
LINC00352,13,24072935,24077013
RNA5SP36,13,95303651,95303783
MTCO3P2,13,24340073,24340243
RN7SL585P,13,95351479,95351756
LINC00391,13,95351948,95355116
SOX21-AS1,13,95364970,95368500
C1QTNF9B-AS1,13,24463028,24471402
BRD7P5,13,95409705,95411526
RPL21P112,13,95412807,95413269
LINC00557,13,95612295,95613573
RNU6-62P,13,95671489,95671590
RNY3P8,13,95963084,95963209
ANKRD20A19P,13,24513696,24520921
RNY4P27,13,95988360,95988455
MEMO1P5,13,96046303,96046708
CLDN10-AS1,13,96131698,96186164
DNAJC3-AS1,13,96300987,96329179
IPO7P2,13,24696204,24697953
MTND5P2,13,96344792,96346226
MIR2276,13,24736555,24736643
SPATA13-AS1,13,24826887,24828577
MTND6P18,13,96346237,96346749
C1QTNF9-AS1,13,24889863,24895736
MTCYBP3,13,96346823,96347959
NUS1P3,13,24902349,24903210
LINC00566,13,24905588,24911259
HMGN1P24,13,96461564,96461861
CYCSP33,13,24974841,24975167
RN7SL164P,13,96821799,96822099
AMMECR1LP1,13,97225913,97226753
TPTE2P6,13,24982295,25171814
HSP90AB6P,13,97536096,97542067
LINC00359,13,97593535,97636426
PSPC1P2,13,25140981,25144866
TULP3P1,13,97599891,97601181
RN7SKP7,13,97601503,97601787
RNY1P7,13,25277694,25277803
RPL26P34,13,25278476,25278926
LINC00456,13,97824723,97831876
IRX1P1,13,25316815,25320322
RNA5SP37,13,98015226,98015355
PSMA6P4,13,98127996,98128713
ANKRD20A10P,13,25324795,25326309
RPL7AP61,13,98553907,98554542
TPTE2P1,13,25498815,25542625
FTLP8,13,98639204,98639470
RN7SKP8,13,98856089,98856446
MIR3170,13,98860778,98860854
SLC25A15P3,13,25517713,25518636
FARP1-AS1,13,99087659,99088094
RPL34P27,13,25562715,25563063
STK24-AS1,13,99229498,99231084
NUS1P4,13,99262546,99263130
AMER2-AS1,13,25746966,25754217
CYCSP35,13,99281940,99282243
LINC01053,13,25755579,25763898
CALM2P4,13,99293068,99293493
LINC01076,13,25767245,25784433
RN7SL60P,13,99324234,99324529
RPL23AP69,13,25780187,25780644
DOCK9-AS1,13,99484338,99486883
RPL7L1P12,13,99601973,99602701
TCEB2P1,13,25939937,25940293
RN7SL289P,13,26027137,26027428
RNU6-83P,13,99677488,99677599
RNU6-78P,13,26091257,26091363
DOCK9-AS2,13,99740073,99740879
RPS6P23,13,99825847,99826744
RN7SL741P,13,26518632,26518891
RNY1P3,13,26524842,26524959
LINC00415,13,26626414,26627523
GAPDHP22,13,99842833,99843245
UBAC2-AS1,13,99848631,99852964
ATP8A2P3,13,26688547,26728313
RN7SKP9,13,99857962,99858260
H2AFZP3,13,99867626,99868012
MIR623,13,100008385,100008482
PRUNEP1,13,26691686,26693102
HMGB3P4,13,100024427,100024940
CCR12P,13,100060035,100061316
PRKRIRP6,13,26808350,26811266
LINC00449,13,100151981,100153306
RPS3AP44,13,27151023,27151812
RNY3P6,13,100188573,100188650
LINC01039,13,100229366,100232622
WASF3-AS1,13,27180681,27215501
CFL1P8,13,100234960,100235434
FGFR1OP2P1,13,27479499,27479998
RPS21P8,13,27551680,27551926
MIR4306,13,100295313,100295403
RPS20P32,13,27591688,27592046
CLYBL-AS2,13,100342335,100343225
USP12-AS1,13,27736992,27743272
CLYBL-AS1,13,100378501,100379745
USP12-AS2,13,27746396,27757135
LINC00412,13,27810419,27810948
SNORD102,13,27829201,27829272
LINC00554,13,100647153,100650163
SNORA27,13,27829538,27829663
NDUFA12P1,13,100680023,100680428
RNU6-70P,13,27917785,27917883
LINC01079,13,27947485,27948503
ASNSP3,13,100714550,100715855
RNY1P1,13,27976613,27976724
RNU6-63P,13,28062275,28062369
RPL15P18,13,100802735,100803346
NPM1P4,13,28270530,28271341
RNU6-73P,13,28402900,28403006
PCCA-AS1,13,101116694,101133411
PDX1-AS1,13,28407581,28495541
LINC00543,13,28527663,28529507
RN7SL272P,13,28563435,28563721
KATNBL1P1,13,28641724,28642471
CHCHD2P8,13,28681568,28682014
RPS26P47,13,101192089,101192528
PAN3-AS1,13,28710980,28712330
COX5BP6,13,101276129,101276683
EEF1A1P3,13,28788650,28790034
RNU6-82P,13,28806638,28806744
NALCN-AS1,13,101360579,101711638
EIF4A1P7,13,29172970,29174189
RNU6-53P,13,29277839,29277944
ARF4P3,13,101408805,101409313
CYP51A1P2,13,29296523,29298158
LINC00411,13,101593116,101596618
POM121L13P,13,29352695,29353074
RNU1-24P,13,102431234,102431398
MTUS2-AS2,13,29813516,29824691
HMGB3P7,13,102454228,102454838
MIR2681,13,102619992,102620096
GAPDHP69,13,29880915,29881922
LIPT1P1,13,102654475,102655660
RNY1P2,13,102669303,102669419
MTUS2-AS1,13,30050652,30064242
MIR4705,13,102698284,102698354
RPL39P29,13,102915396,102915552
TIMM8BP1,13,30440096,30440306
LINC00297,13,30446750,30462542
FGF14-IT1,13,102944677,103046869
LINC00572,13,30492784,30500788
FGF14-AS1,13,103019889,103026016
LINC00544,13,30510042,30524625
FGF14-AS2,13,103046980,103048053
LINC00555,13,103241722,103242163
LINC00365,13,30677315,30683012
LINC00384,13,30726023,30733758
LINC00283,13,103395340,103397574
LINC00385,13,30728203,30728723
RNY5P8,13,103472343,103472419
RNU6-64P,13,30855902,30856006
METTL21EP,13,103532449,103548383
PRDX2P1,13,30870284,30870872
LINC00427,13,30890497,30894040
ATP6V1G1P7,13,104096970,104097318
RPL7P45,13,105466678,105467420
DAOA-AS1,13,106111404,106158030
LINC00426,13,30914407,30951282
LINC00343,13,106356629,106416789
LINC01058,13,30993656,30996374
UBE2L5P,13,31002084,31002656
RNA5SP38,13,106807721,106807839
RBM22P2,13,31113734,31117598
LINC00460,13,107028911,107030565
MFAP1P1,13,31115780,31117034
RPL35P9,13,107078121,107078470
PTPN2P2,13,31127807,31128830
LINC00551,13,107270158,107283707
LINC00443,13,107306264,107324511
LINC00398,13,31377343,31384782
ATP5G1P5,13,107315785,107316195
PPIAP24,13,107516164,107516634
TEX26-AS1,13,31456070,31507983
MIR1267,13,108183519,108183596
FAM155A-IT1,13,108440690,108487799
RNA5SP39,13,108953560,108953679
HCFC2P1,13,109132574,109134165
MYO16-AS2,13,109753609,109754267
LINC00545,13,31456688,31457532
MYO16-AS1,13,109816250,109853831
LINC00370,13,109934321,109940081
LINC01066,13,31569299,31570275
LINC01067,13,109962483,109964121
MIR548X,21,20058408,20058482
WDR95P,13,31651391,31689836
LINC00399,13,110053043,110053988
LINC00676,13,110380629,110382354
PPIAP22,21,20230097,20230594
ANKRD26P4,13,31885426,31887058
RN7SKP10,13,110567443,110567767
LINC00396,13,110705632,110707299
EEF1DP3,13,32420978,32527609
RN7SL783P,13,110750200,110750498
COL4A2-AS2,13,111108743,111115634
LINC01073,13,32559822,32565134
FRY-AS1,13,32599451,32605776
COL4A2-AS1,13,111154922,111160526
SLC6A6P1,21,20616860,20618709
IFIT1P1,13,32958797,32960245
RPL21P107,13,111415021,111415480
RNU1-139P,21,20717465,20717629
LINC00567,13,111462023,111465431
RPL37P4,21,20966155,20966422
ANKRD10-IT1,13,111547406,111551519
ATP8A2P2,13,33051411,33052978
PARP1P1,13,111589106,111592131
C1QBPP,21,21131673,21132442
LINC00431,13,111635654,111642911
LINC00368,13,111748185,111755444
RNU6-772P,21,21728060,21728164
RN7SKP147,21,21728965,21729208
ARHGEF7-AS2,13,111766159,111768025
RNY1P4,13,33337576,33337690
FDPSP6,21,21760646,21761157
LINC00423,13,33451569,33485788
ARHGEF7-IT1,13,111774999,111796611
KRT18P2,21,21797261,21798518
ARHGEF7-AS1,13,111796652,111797080
TOMM22P3,13,33528195,33528539
RPS3AP1,21,21802755,21803074
STARD13-IT1,13,33732724,33738546
LINC00354,13,112554299,112555490
LINC00320,21,22114908,22175534
LINC00404,13,112760409,112761196
PPIAP1,21,22200445,22200940
LINC00403,13,112761433,112762329
LINC01070,13,112851664,112855314
LINC01043,13,112967781,112976072
LINC01044,13,112976881,112985539
ATP11A-AS1,13,113399763,113409007
LINC00317,21,23095613,23109639
STARD13-AS,13,33845516,33855471
IGHV1OR15-9,15,20169919,20170354
MCF2L-AS1,13,113621798,113623138
F10-AS1,13,113782469,113783194
KARSP2,13,113784730,113786368
IGHV3OR15-7,15,20192909,20193370
LDHBP1,13,113930931,113932049
IGHD5OR15-5A,15,20209093,20209115
GRTP1-AS1,13,114005988,114016183
DCUN1D2-AS,13,114123216,114130450
IGHD4OR15-4A,15,20210050,20210068
RNU1-16P,13,114133230,114133393
LINC00552,13,114451484,114454062
IGHD3OR15-3A,15,20211158,20211188
GAS6-AS1,13,114518603,114542321
IGHD2OR15-2A,15,20213655,20213685
GAS6-AS2,13,114567141,114569806
LINC00308,21,23470936,23488847
IGHD1OR15-1A,15,20216406,20216422
RN7SL247P,18,21852889,21853170
