"symbol","official.symbol"
"A1BG","A1BG"
"A1BG-AS1","A1BG-AS1"
"NCRNA00181","A1BG-AS1"
"A1BGAS","A1BG-AS1"
"A1BG-AS","A1BG-AS1"
"FLJ23569","A1BG-AS1"
"A1CF","A1CF"
"ACF","A1CF"
"ASP","A1CF"
"ACF64","A1CF"
"ACF65","A1CF"
"APOBEC1CF","A1CF"
"A1S9T~withdrawn","A1S9T~withdrawn"
"A2M","A2M"
"FWP007","A2M"
"S863-7","A2M"
"CPAMD5","A2M"
"A2M-AS1","A2M-AS1"
"A2ML1","A2ML1"
"CPAMD9","A2ML1"
"FLJ25179","A2ML1"
"A2ML1-AS1","A2ML1-AS1"
"A2ML1-AS2","A2ML1-AS2"
"A2MP1","A2MP1"
"A2MP","A2MP1"
"A2MRAP~withdrawn","A2MRAP~withdrawn"
"A2MR~withdrawn","A2MR~withdrawn"
"A3GALT2","A3GALT2"
"A3GALT2P","A3GALT2"
"IGBS3S","A3GALT2"
"A4GALT","A4GALT"
"A14GALT","A4GALT"
"Gb3S","A4GALT"
"P(k)","A4GALT"
"A4GNT","A4GNT"
"alpha4GnT","A4GNT"
"A12M1~withdrawn","A12M1~withdrawn"
"A12M2~withdrawn","A12M2~withdrawn"
"A12M3~withdrawn","A12M3~withdrawn"
"A12M4~withdrawn","A12M4~withdrawn"
"AAAS","AAAS"
"AABT~withdrawn","AABT~withdrawn"
"AAC1~withdrawn","AAC1~withdrawn"
"AAC2~withdrawn","AAC2~withdrawn"
"AACS","AACS"
"FLJ12389","AACS"
"SUR-5","AACS"
"ACSF1","AACS"
"AACSP1","AACSP1"
"AACSL","AACSP1"
"AACT~withdrawn","AACT~withdrawn"
"AADAC","AADAC"
"DAC","AADAC"
"CES5A1","AADAC"
"AADACL2","AADACL2"
"MGC72001","AADACL2"
"AADACL3","AADACL3"
"OTTHUMG00000001887","AADACL3"
"AADACL4","AADACL4"
"OTTHUMG00000001889","AADACL4"
"AADAT","AADAT"
"KATII","AADAT"
"KAT2","AADAT"
"AAED1","AAED1"
"C9orf21","AAED1"
"AAGAB","AAGAB"
"FLJ11506","AAGAB"
"p34","AAGAB"
"AAK1","AAK1"
"KIAA1048","AAK1"
"DKFZp686K16132","AAK1"
"AAMDC","AAMDC"
"C11orf67","AAMDC"
"PTD015","AAMDC"
"FLJ21035","AAMDC"
"CK067","AAMDC"
"AAMP","AAMP"
"AANAT","AANAT"
"SNAT","AANAT"
"AAR2","AAR2"
"C20orf4","AAR2"
"bA234K24.2","AAR2"
"AARD","AARD"
"C8orf85","AARD"
"LOC441376","AARD"
"AARS","AARS"
"AARS2","AARS2"
"AARSL","AARS2"
"KIAA1270","AARS2"
"bA444E17.1","AARS2"
"AARSD1","AARSD1"
"MGC2744","AARSD1"
"AARSP1","AARSP1"
"AASDH","AASDH"
"NRPS998","AASDH"
"LYS2","AASDH"
"ACSF4","AASDH"
"AASDHPPT","AASDHPPT"
"LYS5","AASDHPPT"
"CGI-80","AASDHPPT"
"AASD-PPT","AASDHPPT"
"AASS","AASS"
"LORSDH","AASS"
"LKRSDH","AASS"
"AATF","AATF"
"DED","AATF"
"CHE-1","AATF"
"CHE1","AATF"
"BFR2","AATF"
"AATK","AATK"
"AATYK","AATK"
"KIAA0641","AATK"
"LMTK1","AATK"
"LMR1","AATK"
"AATYK1","AATK"
"AATK-AS1","AATK-AS1"
"AAVS1","AAVS1"
"AAV","AAVS1"
"AA~withdrawn","AA~withdrawn"
"ABALON","ABALON"
"ABAT","ABAT"
"GABAT","ABAT"
"ABC1~withdrawn","ABC1~withdrawn"
"ABC2~withdrawn","ABC2~withdrawn"
"ABC3~withdrawn","ABC3~withdrawn"
"ABC7~withdrawn","ABC7~withdrawn"
"ABC50~withdrawn","ABC50~withdrawn"
"ABCA1","ABCA1"
"ABC1","ABCA1"
"HDLDT1","ABCA1"
"TGD","ABCA1"
